t	P	cov	vg_standard.mean	vg_standard.CI95l	vg_standard.CI95r	vg_standard_ganc.mean	vg_standard_ganc.CI95l	vg_standard_ganc.CI95r	vg_VarX.mean	vg_VarX.CI95l	vg_VarX.CI95r	vg_Varx_ganc.mean	vg_Varx_ganc.CI95l	vg_Varx_ganc.CI95r	vg_LD.mean	vg_LD.CI95l	vg_LD.CI95r	vg_LD_ganc.mean	vg_LD_ganc.CI95l	vg_LD_ganc.CI95r	model	manc	vanc	exp1	exp2	exp3	exp4	exp.total
 0	0.0	neg	0.33546988	0.32660324	0.34448830	0.9223212	0.9051365	0.9375363	0.37314558	0.36254866	0.38246701	0.9429739	0.9270252	0.9581010	0.9084656	0.8984045	0.9168572	0.9044656	0.8957190	0.9156439	CGF	0.03410000	0.03294048	0.9156968	0.01219686	0.012198085	-0.02370703	0.9163847
 0	0.0	pos	2.69805696	2.60054442	2.77397460	0.9323095	0.9153460	0.9490371	2.83535014	2.74865664	2.91685583	0.9521230	0.9376110	0.9724294	1.0548407	1.0435026	1.0669574	0.9087426	0.9007795	0.9184061	CGF	0.03410000	0.03294048	0.9156968	0.01219686	0.012198085	 0.12698167	1.0670734
 0	0.9	neg	0.33680600	0.32633709	0.34541625	0.9247403	0.9116037	0.9401472	0.37577626	0.36436980	0.38636669	0.9449037	0.9273968	0.9592259	0.9105188	0.9023878	0.9179122	0.9094654	0.9016804	0.9172293	CGF	0.03410000	0.03294048	0.9156968	0.01219686	0.012198085	-0.02370703	0.9163847
 0	0.9	pos	2.74541630	2.66442037	2.80786915	0.9293911	0.9134886	0.9423814	2.87134378	2.78328884	2.93942197	0.9495446	0.9373280	0.9630732	1.0571535	1.0495712	1.0668416	0.9073895	0.8986532	0.9149379	CGF	0.03410000	0.03294048	0.9156968	0.01219686	0.012198085	 0.12698167	1.0670734
 1	0.0	neg	0.25657897	0.25042906	0.26339722	0.9408843	0.9228611	0.9558250	0.28889620	0.28358377	0.29364823	0.9620094	0.9457523	0.9760164	0.9192519	0.9093249	0.9292958	0.9157405	0.9052140	0.9239440	CGF	0.06703621	0.04663015	0.9151119	0.02315986	0.017267461	-0.03355939	0.9219798
 1	0.0	pos	3.35228201	3.27909491	3.43122581	0.9458935	0.9314809	0.9594787	3.56328636	3.47606447	3.67493057	0.9679720	0.9536675	0.9823226	1.1269985	1.1149317	1.1375892	0.9146288	0.9068694	0.9231419	CGF	0.06703660	0.04668021	0.9151119	0.02315999	0.017285997	 0.17994667	1.1355045
 1	0.9	neg	0.18146391	0.17095863	0.19473089	0.9466593	0.9293706	0.9652842	0.21461246	0.20028176	0.23220335	0.9745584	0.9501767	0.9946764	0.9153575	0.8995583	0.9277465	0.9145003	0.9004981	0.9264987	CGF	0.06684838	0.06096154	0.9151152	0.02309962	0.022574473	-0.04387359	0.9169157
 1	0.9	pos	3.61368909	3.53167639	3.69394268	0.9516597	0.9402615	0.9633245	3.94860534	3.85687244	4.02972320	0.9805180	0.9675023	0.9928399	1.1852313	1.1785895	1.1927521	0.9127197	0.9063929	0.9203294	CGF	0.06704778	0.06093431	0.9151117	0.02316357	0.022564386	 0.23489454	1.1957342
10	0.0	neg	0.57462824	0.56591070	0.58271795	0.9887025	0.9758267	1.0024658	0.59196292	0.58184477	0.59967224	1.0011943	0.9863265	1.0147558	0.9776058	0.9701910	0.9858311	0.9795215	0.9722140	0.9861388	CGF	0.31750231	0.03408274	0.9106641	0.08024348	0.012621069	-0.02452911	0.9789995
10	0.0	pos	3.11976349	3.05199820	3.18713632	0.9807261	0.9612376	0.9986335	3.16015897	3.07710666	3.22833703	0.9938001	0.9768040	1.0116742	1.1287802	1.1172221	1.1382410	0.9682251	0.9566436	0.9805466	CGF	0.31781317	0.03400500	0.9106586	0.08028546	0.012592282	 0.13108526	1.1346216
10	0.9	neg	0.06876331	0.06473664	0.07217988	0.9886331	0.9711148	1.0086804	0.08465856	0.07932799	0.08942886	1.0364578	1.0153758	1.0651350	0.9286353	0.9217034	0.9375733	0.9269639	0.9206245	0.9353939	CGF	0.31583699	0.16821711	0.9106937	0.08001736	0.062291937	-0.12106467	0.9319383
10	0.9	pos	5.73127080	5.64851702	5.79170191	0.9993786	0.9816842	1.0182395	6.59547158	6.50203029	6.68540193	1.0449556	1.0293342	1.0607535	1.7038239	1.6859637	1.7196288	0.9221271	0.9127537	0.9299854	CGF	0.31879951	0.16923092	0.9106411	0.08041818	0.062667356	 0.65236518	1.7060918
11	0.0	neg	0.60490508	0.59202394	0.61943470	0.9856029	0.9692256	1.0051477	0.62165923	0.61105999	0.63618018	0.9970575	0.9818603	1.0154162	0.9775544	0.9671412	0.9871455	0.9782137	0.9706355	0.9865730	CGF	0.34101640	0.03184408	0.9102465	0.08321690	0.011792077	-0.02291796	0.9823376
11	0.0	pos	2.95432865	2.88283974	3.02463492	0.9904595	0.9723955	1.0125130	2.98754178	2.90703924	3.06522330	1.0006883	0.9772712	1.0215975	1.1273024	1.1127488	1.1425554	0.9773297	0.9660756	0.9911585	CGF	0.34140522	0.03173040	0.9102396	0.08326263	0.011749983	 0.12231695	1.1275692
11	0.9	neg	0.07808368	0.07342504	0.08312161	0.9880095	0.9744345	1.0022857	0.09599629	0.09080818	0.09982226	1.0319444	1.0149433	1.0460166	0.9300112	0.9228448	0.9355375	0.9267992	0.9191465	0.9341717	CGF	0.33832595	0.16980923	0.9102943	0.08289743	0.062881508	-0.12221050	0.9338628
11	0.9	pos	5.73133266	5.66357637	5.81157602	0.9879446	0.9707861	1.0020022	6.59271846	6.51663714	6.68651492	1.0311170	1.0100506	1.0478413	1.7045588	1.6936312	1.7156382	0.9227495	0.9127882	0.9315977	CGF	0.34298254	0.17064113	0.9102116	0.08344697	0.063189568	 0.65780139	1.7146496
12	0.0	neg	0.66232399	0.65610334	0.66932620	1.0207188	1.0129116	1.0296294	0.67801367	0.67131017	0.68564102	1.0324475	1.0236746	1.0407554	0.9913974	0.9833856	1.0006015	1.0009604	0.9959402	1.0058568	CGF	0.36345495	0.02972011	0.9098481	0.08567249	0.011005557	-0.02138935	0.9851368
12	0.0	pos	2.71975783	2.63175994	2.79772154	0.9991843	0.9847666	1.0118691	2.74091924	2.65517966	2.82733841	1.0112302	0.9973867	1.0240230	1.1172924	1.1058993	1.1274100	0.9828353	0.9761478	0.9896824	CGF	0.36405368	0.02984207	0.9098374	0.08573291	0.011050723	 0.11503767	1.1216587
12	0.9	neg	0.06975361	0.06424039	0.07600498	0.9819229	0.9617968	1.0037322	0.08530869	0.07926567	0.09257684	1.0252644	1.0040657	1.0469899	0.9287699	0.9190941	0.9411784	0.9276185	0.9171503	0.9378555	CGF	0.36084346	0.17068501	0.9098945	0.08540587	0.063205816	-0.12284080	0.9356653
12	0.9	pos	5.83360216	5.73434977	5.92109849	1.0047131	0.9874449	1.0184514	6.69249659	6.56845168	6.79029390	1.0485211	1.0347087	1.0652589	1.7178877	1.7073620	1.7321808	0.9290622	0.9211439	0.9370738	CGF	0.36649445	0.17058565	0.9097941	0.08597645	0.063169023	 0.65758751	1.7165271
13	0.0	neg	0.68663960	0.67399015	0.70337949	1.0137312	0.9902575	1.0399981	0.69973955	0.68572166	0.71287711	1.0248560	1.0011476	1.0517437	0.9917975	0.9797283	1.0052016	0.9995048	0.9859204	1.0133364	CGF	0.38563071	0.02784801	0.9094543	0.08773296	0.010312308	-0.02004202	0.9874575
13	0.0	pos	2.60890465	2.52854558	2.68118017	0.9878305	0.9701061	1.0051242	2.63133724	2.54435836	2.70249103	0.9986819	0.9759042	1.0190201	1.1048755	1.0880662	1.1191182	0.9755738	0.9637899	0.9861729	CGF	0.38577893	0.02762402	0.9094516	0.08774551	0.010229363	 0.10648734	1.1139139
13	0.9	neg	0.07598255	0.07103311	0.08089850	1.0000368	0.9820635	1.0197870	0.09291958	0.08756330	0.10156720	1.0453285	1.0274816	1.0634788	0.9379884	0.9270447	0.9463732	0.9347776	0.9252074	0.9425274	CGF	0.38392322	0.17104580	0.9094846	0.08758725	0.063339420	-0.12310046	0.9373108
13	0.9	pos	5.81154375	5.71308621	5.92595892	1.0137340	0.9999412	1.0281920	6.65949788	6.54261809	6.79701056	1.0608871	1.0445625	1.0754392	1.7210369	1.7071415	1.7398510	0.9411401	0.9316846	0.9511761	CGF	0.38904378	0.17008453	0.9093937	0.08801774	0.062983456	 0.65565577	1.7160506
14	0.0	neg	0.71254189	0.70227956	0.72357033	1.0028136	0.9862017	1.0186491	0.72649615	0.71648283	0.73698973	1.0096778	0.9913052	1.0259020	0.9894124	0.9820444	0.9968421	0.9898657	0.9772741	0.9982821	CGF	0.40657763	0.02597903	0.9090823	0.08934475	0.009620211	-0.01869692	0.9893503
14	0.0	pos	2.50344289	2.46944680	2.54030700	0.9905672	0.9757918	1.0075834	2.52128262	2.48934849	2.55316222	0.9997883	0.9838561	1.0172171	1.1048705	1.0964077	1.1140238	0.9807718	0.9690183	0.9911980	CGF	0.40659096	0.02578164	0.9090821	0.08934568	0.009547115	 0.09938516	1.1073600
14	0.9	neg	0.08231338	0.07795004	0.08587392	1.0081169	0.9897145	1.0315985	0.09997539	0.09511883	0.10441301	1.0486072	1.0278380	1.0685293	0.9453598	0.9346963	0.9561641	0.9413962	0.9318785	0.9501428	CGF	0.40386795	0.16942005	0.9091304	0.08915455	0.062737393	-0.12193041	0.9390920
14	0.9	pos	5.82994515	5.71429225	5.94615399	0.9966793	0.9790291	1.0123831	6.65500446	6.55277341	6.77833835	1.0427191	1.0202395	1.0556344	1.6968447	1.6801338	1.7149321	0.9288887	0.9182251	0.9378643	CGF	0.41028249	0.16803820	0.9090165	0.08959601	0.062225686	 0.64776741	1.7086056
15	0.0	neg	0.74732259	0.73690245	0.75489082	1.0119051	0.9990677	1.0259321	0.75920768	0.74899927	0.76657639	1.0202119	1.0080782	1.0308350	0.9978103	0.9893237	1.0068710	1.0007402	0.9925578	1.0107646	CGF	0.42703799	0.02419542	0.9087190	0.09060538	0.008959727	-0.01741327	0.9908708
15	0.0	pos	2.29500531	2.24537517	2.34296484	0.9938448	0.9803978	1.0081444	2.31362507	2.26334489	2.36404204	1.0006853	0.9882021	1.0189043	1.0939437	1.0872029	1.1007066	0.9831191	0.9768327	0.9900355	CGF	0.42697642	0.02421440	0.9087201	0.09060206	0.008966757	 0.09334365	1.1016325
15	0.9	neg	0.07363222	0.07001731	0.07711352	0.9966395	0.9750331	1.0211295	0.09013061	0.08544353	0.09381450	1.0405599	1.0189047	1.0636059	0.9389441	0.9291841	0.9489545	0.9366040	0.9275901	0.9492930	CGF	0.42536931	0.16690919	0.9087486	0.09051418	0.061807606	-0.12012337	0.9409470
15	0.9	pos	5.92194378	5.80513150	6.02311697	1.0177715	1.0011799	1.0337800	6.77187631	6.67688831	6.89169370	1.0586221	1.0392150	1.0757564	1.7156269	1.7013381	1.7306085	0.9407881	0.9325052	0.9488272	CGF	0.43085521	0.16664667	0.9086512	0.09080626	0.061710392	 0.64240321	1.7035710
16	0.0	neg	0.75475484	0.74569859	0.76498017	0.9826908	0.9684276	0.9958517	0.76637209	0.75444078	0.77587429	0.9919213	0.9770147	1.0065996	0.9854351	0.9790180	0.9919751	0.9822032	0.9739609	0.9892490	CGF	0.44678661	0.02266135	0.9083683	0.09152811	0.008391651	-0.01630921	0.9919788
16	0.0	pos	2.22543767	2.16408481	2.29076661	0.9872566	0.9726979	0.9988210	2.23872430	2.17158092	2.30199836	0.9966259	0.9786333	1.0150296	1.0904225	1.0820356	1.0985707	0.9822618	0.9756042	0.9892719	CGF	0.44630891	0.02249711	0.9083768	0.09150920	0.008330834	 0.08672371	1.0949405
16	0.9	neg	0.07835376	0.07220550	0.08406785	0.9986740	0.9770830	1.0176133	0.09508031	0.09005022	0.10140163	1.0402780	1.0176292	1.0581758	0.9431484	0.9318520	0.9530477	0.9405663	0.9295177	0.9510681	CGF	0.44570684	0.16439516	0.9083874	0.09148512	0.060876642	-0.11831404	0.9424352
16	0.9	pos	5.89413296	5.81402585	5.96486740	1.0043726	0.9876441	1.0227931	6.71032823	6.62336601	6.78133128	1.0440512	1.0265815	1.0679542	1.6964158	1.6861436	1.7084307	0.9382173	0.9293813	0.9500843	CGF	0.45030658	0.16427818	0.9083058	0.09166225	0.060833325	 0.63327297	1.6940743
17	0.0	neg	0.78955787	0.77657258	0.80360371	0.9949654	0.9792189	1.0151539	0.79915541	0.78482075	0.81392016	1.0030392	0.9879357	1.0201097	0.9911412	0.9827979	0.9998873	0.9879309	0.9767872	0.9991455	CGF	0.46593124	0.02121288	0.9080283	0.09214689	0.007855274	-0.01526676	0.9927637
17	0.0	pos	2.16285342	2.10877155	2.23618331	1.0061154	0.9861759	1.0276020	2.17477368	2.10937892	2.25269553	1.0130566	0.9925329	1.0345699	1.0954701	1.0823423	1.1104046	0.9920116	0.9779349	1.0038774	CGF	0.46513252	0.02112405	0.9080425	0.09212650	0.007822378	 0.08143070	1.0894221
17	0.9	neg	0.08545267	0.07914772	0.09245008	0.9860744	0.9750348	0.9993293	0.10201246	0.09294544	0.10887208	1.0282795	1.0148739	1.0404358	0.9373816	0.9306131	0.9442089	0.9348577	0.9277394	0.9412408	CGF	0.46445499	0.16111896	0.9080545	0.09210883	0.059663444	-0.11595618	0.9438706
17	0.9	pos	5.92950281	5.87545663	5.98840888	1.0085133	0.9954495	1.0221035	6.72950944	6.65310740	6.80567150	1.0524818	1.0375243	1.0651099	1.6868667	1.6747689	1.6989689	0.9378071	0.9279069	0.9493633	CGF	0.46882046	0.16103757	0.9079770	0.09221670	0.059633304	 0.62078080	1.6806078
18	0.0	neg	0.80671903	0.79116118	0.82276337	0.9898597	0.9686530	1.0140909	0.81482313	0.79596969	0.83124814	0.9981762	0.9733723	1.0255148	0.9919870	0.9816420	1.0001216	0.9902395	0.9777145	1.0048324	CGF	0.48397273	0.01970364	0.9077079	0.09248157	0.007296390	-0.01418057	0.9933053
18	0.0	pos	2.02781566	1.97101438	2.08955682	1.0028893	0.9830765	1.0232986	2.03989173	1.99665263	2.09091453	1.0111855	0.9942424	1.0282386	1.0820114	1.0692090	1.0936496	0.9850511	0.9721809	0.9969724	CGF	0.48335433	0.01972160	0.9077189	0.09247409	0.007303040	 0.07602442	1.0835204
