t	P	cov	vg_standard.mean	vg_standard.CI95l	vg_standard.CI95r	vg_standard_ganc.mean	vg_standard_ganc.CI95l	vg_standard_ganc.CI95r	vg_VarX.mean	vg_VarX.CI95l	vg_VarX.CI95r	vg_Varx_ganc.mean	vg_Varx_ganc.CI95l	vg_Varx_ganc.CI95r	vg_LD.mean	vg_LD.CI95l	vg_LD.CI95r	vg_LD_ganc.mean	vg_LD_ganc.CI95l	vg_LD_ganc.CI95r	model	manc	vanc	exp1	exp2	exp3	exp4	exp.total
 0	0.0	neg	0.05179037	0.04791914	0.05601016	0.9784286	0.9550896	1.0009787	0.06653121	0.06165309	0.07306907	1.0324744	1.0132668	1.0534024	0.9033733	0.8918953	0.9153884	0.8994258	0.8908427	0.9115210	HI	0.5000000	0.2500250025	0.9074233	0.09257669	9.258595e-02	-1.799412e-01	0.9126447
 0	0.0	pos	6.05661837	5.98133443	6.11030658	0.9949325	0.9813126	1.0079064	7.34653241	7.25157024	7.43457505	1.0513370	1.0374056	1.0644714	2.0484247	2.0366530	2.0612371	0.9014458	0.8961771	0.9087692	HI	0.5000000	0.2500250025	0.9074233	0.09257669	9.258595e-02	 9.638168e-01	2.0564028
 0	0.9	neg	0.05018260	0.04654813	0.05347833	0.9804125	0.9603286	1.0037589	0.06448329	0.05937471	0.06848434	1.0345356	1.0153467	1.0541020	0.9047936	0.8967505	0.9117936	0.9007832	0.8930839	0.9066953	HI	0.5000000	0.2500250025	0.9074233	0.09257669	9.258595e-02	-1.799412e-01	0.9126447
 0	0.9	pos	6.10275125	6.02812025	6.16724743	1.0001172	0.9862291	1.0149480	7.40254076	7.32646888	7.46884911	1.0541935	1.0332705	1.0715895	2.0609657	2.0526350	2.0737650	0.9036917	0.8948629	0.9102176	HI	0.5000000	0.2500250025	0.9074233	0.09257669	9.258595e-02	 9.638168e-01	2.0564028
 1	0.0	neg	0.11755883	0.11078598	0.12367546	0.9918742	0.9702225	1.0197016	0.13686238	0.12987677	0.14443425	1.0252545	1.0039644	1.0454665	0.9524782	0.9408446	0.9665267	0.9500139	0.9386710	0.9612582	HI	0.5000021	0.1239750984	0.9074233	0.09257669	4.590882e-02	-8.922400e-02	0.9566848
 1	0.0	pos	5.66767332	5.56165791	5.77272861	0.9974495	0.9850668	1.0096731	6.24899490	6.12527683	6.36448407	1.0343685	1.0213097	1.0468696	1.5307397	1.5162890	1.5439094	0.9490864	0.9394946	0.9596069	HI	0.5000000	0.1259749807	0.9074233	0.09257669	4.664939e-02	 4.856187e-01	1.5322680
 1	0.9	neg	0.05480490	0.04924912	0.05917343	0.9869740	0.9651366	1.0060946	0.07046722	0.06427171	0.07662831	1.0395155	1.0204320	1.0645018	0.9114669	0.9019354	0.9228100	0.9064776	0.8954513	0.9159766	HI	0.4999951	0.2374799973	0.9074234	0.09257669	8.794045e-02	-1.709127e-01	0.9170279
 1	0.9	pos	6.07255692	5.99057250	6.16091465	1.0013464	0.9774834	1.0200284	7.30163384	7.20002290	7.41207285	1.0564714	1.0368646	1.0750848	2.0104178	1.9904837	2.0325429	0.9102094	0.8973011	0.9217084	HI	0.4999961	0.2380796157	0.9074234	0.09257669	8.816250e-02	 9.177688e-01	2.0059313
10	0.0	neg	0.99674437	0.98658380	1.00742643	0.9976810	0.9872704	1.0071608	0.99758201	0.98748324	1.00818030	0.9968448	0.9851697	1.0060196	1.0020367	0.9950822	1.0083952	1.0018005	0.9928705	1.0090937	HI	0.4999470	0.0003697055	0.9074242	0.09257669	1.369045e-04	-2.660744e-04	0.9998718
10	0.0	pos	0.99906295	0.98495151	1.01495610	0.9954922	0.9788260	1.0101639	0.99837630	0.98112787	1.01619247	0.9961556	0.9806788	1.0091490	0.9972002	0.9874640	1.0082542	0.9949663	0.9837985	1.0045080	HI	0.4999970	0.0003688389	0.9074234	0.09257669	1.365835e-04	 1.421830e-03	1.0015585
