t	P	cov	model	h2_standard.mean	h2_standard.CI95l	h2_standard.CI95r	h2_standard_ganc.mean	h2_standard_ganc.CI95l	h2_standard_ganc.CI95r	h2_varX.mean	h2_varX.CI95l	h2_varX.CI95r	h2_varX_ganc.mean	h2_varX_ganc.CI95l	h2_varX_ganc.CI95r	h2_ld.mean	h2_ld.CI95l	h2_ld.CI95r	h2_ld_ganc.mean	h2_ld_ganc.CI95l	h2_ld_ganc.CI95r
 0	0.0	neg	CGF	0.8006070	0.7986333	0.8024749	0.8005689	0.7988298	0.8025598	0.8027722	0.8008890	0.8043134	0.8027207	0.8008353	0.8045082	0.7975682	0.7962428	0.7990242	0.7976936	0.7963905	0.7989072
 0	0.0	neg	HI	0.8154183	0.8136124	0.8177102	0.8153300	0.8128149	0.8177642	0.8280602	0.8261034	0.8302968	0.8279452	0.8257200	0.8304557	0.7997299	0.7983471	0.8017304	0.7987844	0.7969177	0.8005314
 0	0.0	pos	CGF	0.7784861	0.7776527	0.7796793	0.7784899	0.7777208	0.7794450	0.7809041	0.7798412	0.7819197	0.7808290	0.7799969	0.7820219	0.8010476	0.7996563	0.8023223	0.7792824	0.7780678	0.7806589
 0	0.0	pos	HI	0.6634725	0.6618669	0.6656817	0.6631498	0.6607511	0.6654827	0.6818947	0.6794491	0.6841882	0.6816463	0.6791622	0.6843949	0.8014542	0.8003975	0.8026294	0.6390774	0.6373390	0.6411780
 0	0.9	neg	CGF	0.8028160	0.8005121	0.8048926	0.8026423	0.8005871	0.8047026	0.8049495	0.8027307	0.8071122	0.8049192	0.8027745	0.8068481	0.7993089	0.7980613	0.8003300	0.7992861	0.7980396	0.8005146
 0	0.9	neg	HI	0.8136408	0.8106488	0.8164163	0.8134498	0.8104964	0.8159875	0.8260554	0.8237259	0.8288043	0.8265467	0.8244379	0.8294316	0.7976092	0.7962026	0.7990021	0.7969791	0.7954965	0.7985489
 0	0.9	pos	CGF	0.7768017	0.7741710	0.7797494	0.7767731	0.7736655	0.7808591	0.7793068	0.7763184	0.7820966	0.7788027	0.7765458	0.7810591	0.7997209	0.7978115	0.8020953	0.7771854	0.7745136	0.7799594
 0	0.9	pos	HI	0.6595908	0.6567739	0.6623394	0.6595973	0.6558992	0.6634835	0.6783425	0.6746859	0.6813718	0.6782716	0.6747568	0.6819619	0.7998273	0.7981909	0.8012692	0.6360105	0.6323992	0.6397178
 1	0.0	neg	CGF	0.8026851	0.7997540	0.8056691	0.8028969	0.8000626	0.8052868	0.8057856	0.8031400	0.8084831	0.8058429	0.8033238	0.8081956	0.7990403	0.7966709	0.8011211	0.7992493	0.7967078	0.8010402
 1	0.0	neg	HI	0.8075424	0.8054793	0.8094149	0.8074083	0.8053380	0.8096526	0.8142419	0.8120821	0.8162880	0.8142352	0.8118683	0.8165210	0.7996861	0.7982992	0.8012166	0.7995210	0.7979686	0.8010121
 1	0.0	pos	CGF	0.7675634	0.7631154	0.7710625	0.7670796	0.7625997	0.7708153	0.7702387	0.7665155	0.7739418	0.7706636	0.7667944	0.7747012	0.7995705	0.7964119	0.8017799	0.7666458	0.7631096	0.7696138
 1	0.0	pos	HI	0.7249433	0.7223461	0.7276079	0.7249061	0.7222566	0.7273287	0.7341119	0.7310201	0.7372505	0.7335772	0.7312127	0.7360949	0.8005589	0.7997677	0.8013662	0.7156108	0.7122915	0.7184736
 1	0.9	neg	CGF	0.8044680	0.8037257	0.8055028	0.8046206	0.8035024	0.8057351	0.8082832	0.8073150	0.8092833	0.8083082	0.8074305	0.8094106	0.7998783	0.7983526	0.8014825	0.7997183	0.7981780	0.8013002
 1	0.9	neg	HI	0.8146624	0.8128990	0.8166154	0.8145230	0.8128922	0.8163577	0.8266633	0.8245849	0.8286158	0.8267800	0.8250556	0.8286062	0.8004751	0.7989289	0.8014266	0.7997979	0.7985105	0.8010379
 1	0.9	pos	CGF	0.7574826	0.7554844	0.7603901	0.7574227	0.7552261	0.7598656	0.7619926	0.7601696	0.7642187	0.7620376	0.7598533	0.7647723	0.7992045	0.7973136	0.8011779	0.7553353	0.7530268	0.7577097
 1	0.9	pos	HI	0.6674549	0.6655295	0.6698540	0.6671398	0.6648216	0.6697115	0.6849808	0.6829732	0.6872363	0.6849978	0.6832108	0.6871210	0.8007785	0.7997635	0.8020598	0.6450703	0.6426878	0.6472469
 2	0.0	neg	CGF	0.8021486	0.8004979	0.8037339	0.8020985	0.8003527	0.8039926	0.8053937	0.8036873	0.8069751	0.8052633	0.8035455	0.8068502	0.7984051	0.7974940	0.7994165	0.7983046	0.7971920	0.7995442
 2	0.0	neg	HI	0.8033065	0.8014884	0.8051353	0.8033721	0.8015499	0.8053318	0.8068083	0.8049455	0.8088808	0.8068870	0.8048659	0.8088157	0.8000037	0.7988802	0.8010654	0.7999032	0.7984857	0.8011840
 2	0.0	pos	CGF	0.7667777	0.7638402	0.7698261	0.7666803	0.7637274	0.7703196	0.7707836	0.7676979	0.7741276	0.7703631	0.7670053	0.7744578	0.8010690	0.7988942	0.8041218	0.7664407	0.7635293	0.7698174
 2	0.0	pos	HI	0.7597784	0.7565180	0.7632081	0.7599652	0.7571148	0.7626701	0.7640072	0.7616610	0.7666439	0.7642274	0.7604976	0.7672981	0.8007013	0.7991269	0.8020193	0.7593973	0.7569242	0.7616636
 2	0.9	neg	CGF	0.8048942	0.8033360	0.8062732	0.8047130	0.8031814	0.8063641	0.8098949	0.8084589	0.8115130	0.8098603	0.8083585	0.8114024	0.7986997	0.7975943	0.7998323	0.7985424	0.7976592	0.7996256
 2	0.9	neg	HI	0.8122190	0.8088189	0.8151246	0.8120382	0.8086199	0.8146120	0.8237418	0.8214211	0.8263438	0.8237651	0.8208663	0.8267589	0.7979951	0.7962236	0.8003859	0.7972541	0.7951259	0.7995187
 2	0.9	pos	CGF	0.7434919	0.7413148	0.7457127	0.7433922	0.7410260	0.7461229	0.7498270	0.7473836	0.7516624	0.7495497	0.7474611	0.7519609	0.8006005	0.7989607	0.8022686	0.7382481	0.7367576	0.7404776
 2	0.9	pos	HI	0.6729412	0.6712029	0.6748756	0.6726072	0.6706015	0.6743306	0.6899301	0.6882725	0.6917380	0.6894833	0.6878108	0.6912240	0.8004866	0.7990559	0.8020474	0.6508546	0.6486371	0.6528051
 3	0.0	neg	CGF	0.8033972	0.8021612	0.8049698	0.8034953	0.8022074	0.8052231	0.8068266	0.8052273	0.8083769	0.8069328	0.8052385	0.8086014	0.8009012	0.7995136	0.8022799	0.8008886	0.7998942	0.8020570
 3	0.0	neg	HI	0.8012505	0.7998881	0.8028121	0.8012685	0.7998215	0.8030905	0.8032056	0.8016822	0.8051289	0.8031768	0.8017480	0.8046550	0.7995703	0.7982184	0.8017401	0.7996154	0.7980896	0.8016070
 3	0.0	pos	CGF	0.7649217	0.7633190	0.7665863	0.7647835	0.7634298	0.7664046	0.7682969	0.7666714	0.7703528	0.7682683	0.7669596	0.7698452	0.7995873	0.7985275	0.8007715	0.7651428	0.7637191	0.7665885
 3	0.0	pos	HI	0.7813711	0.7794950	0.7831095	0.7810897	0.7792871	0.7833755	0.7831859	0.7812931	0.7854016	0.7831580	0.7812670	0.7850494	0.8016460	0.8001340	0.8033931	0.7853021	0.7829383	0.7875123
 3	0.9	neg	CGF	0.8060318	0.8037216	0.8083178	0.8059609	0.8037704	0.8087067	0.8121485	0.8100696	0.8140463	0.8119771	0.8093689	0.8139102	0.7993834	0.7970720	0.8010233	0.7990735	0.7975980	0.8005904
 3	0.9	neg	HI	0.8127460	0.8109387	0.8144888	0.8127251	0.8110733	0.8143092	0.8238261	0.8223088	0.8256742	0.8239154	0.8220612	0.8253853	0.8006430	0.7991317	0.8021227	0.7998964	0.7983515	0.8016246
 3	0.9	pos	CGF	0.7307906	0.7268492	0.7341241	0.7305983	0.7273780	0.7343213	0.7386175	0.7350391	0.7426286	0.7386632	0.7342425	0.7425867	0.7991724	0.7964699	0.8012852	0.7228577	0.7194866	0.7266942
 3	0.9	pos	HI	0.6742941	0.6719817	0.6763881	0.6741450	0.6721772	0.6757089	0.6902862	0.6882404	0.6921867	0.6900984	0.6883391	0.6920108	0.7988012	0.7981024	0.7994676	0.6538539	0.6518828	0.6565565
 4	0.0	neg	CGF	0.8054605	0.8038049	0.8073836	0.8056332	0.8038948	0.8075335	0.8084055	0.8067510	0.8101611	0.8083394	0.8064807	0.8103454	0.8023019	0.8007886	0.8035427	0.8023662	0.8007310	0.8037647
 4	0.0	neg	HI	0.8000785	0.7986350	0.8015831	0.8000768	0.7983298	0.8019032	0.8009699	0.7995130	0.8023092	0.8010441	0.7994232	0.8024760	0.7999706	0.7986646	0.8010575	0.8000288	0.7988006	0.8012304
 4	0.0	pos	CGF	0.7671049	0.7651526	0.7691983	0.7671399	0.7648282	0.7692420	0.7703439	0.7680317	0.7725405	0.7706558	0.7687772	0.7722207	0.8001171	0.7988913	0.8016379	0.7691341	0.7673579	0.7713163
 4	0.0	pos	HI	0.7893616	0.7871063	0.7918981	0.7896445	0.7874811	0.7920093	0.7907162	0.7879122	0.7935056	0.7905286	0.7881242	0.7931355	0.8006286	0.7994259	0.8017920	0.7950040	0.7938115	0.7963889
 4	0.9	neg	CGF	0.8066408	0.8047491	0.8089206	0.8067547	0.8051382	0.8084974	0.8135666	0.8122054	0.8156695	0.8135482	0.8119866	0.8156073	0.7981778	0.7967399	0.7997415	0.7979814	0.7967340	0.7993668
 4	0.9	neg	HI	0.8114282	0.8100888	0.8128289	0.8115297	0.8101738	0.8127535	0.8222047	0.8210915	0.8234716	0.8220666	0.8211115	0.8232630	0.8002785	0.7994582	0.8012915	0.7997975	0.7990202	0.8006069
 4	0.9	pos	CGF	0.7227137	0.7206176	0.7250654	0.7230050	0.7203561	0.7256940	0.7317511	0.7293751	0.7343274	0.7319257	0.7295314	0.7348358	0.7994781	0.7979340	0.8008754	0.7124810	0.7103665	0.7144474
 4	0.9	pos	HI	0.6833884	0.6816211	0.6852037	0.6830835	0.6811944	0.6849047	0.6984511	0.6965881	0.7003368	0.6982056	0.6963485	0.7002570	0.8005202	0.7991834	0.8018225	0.6638689	0.6618622	0.6659458
 5	0.0	neg	CGF	0.8021567	0.8006569	0.8037449	0.8020502	0.8005602	0.8034080	0.8048646	0.8032976	0.8064841	0.8048933	0.8030231	0.8064926	0.7999760	0.7983300	0.8017268	0.8001364	0.7984764	0.8021210
 5	0.0	neg	HI	0.7994610	0.7979435	0.8009958	0.7995397	0.7981221	0.8011617	0.7997452	0.7982845	0.8011032	0.7998308	0.7986425	0.8014416	0.7988365	0.7967249	0.8002576	0.7989090	0.7970641	0.8009058
 5	0.0	pos	CGF	0.7677195	0.7660198	0.7691123	0.7677834	0.7662000	0.7690992	0.7711609	0.7694695	0.7728109	0.7708184	0.7696104	0.7719363	0.7987957	0.7973202	0.8001347	0.7682643	0.7665223	0.7700975
