t	P	cov	model	vgamma_standard.mean	vgamma_standard.CI95l	vgamma_standard.CI95r	vgamma_standard_ganc.mean	vgamma_standard_ganc.CI95l	vgamma_standard_ganc.CI95r	vgamma_varX.mean	vgamma_varX.CI95l	vgamma_varX.CI95r	vgamma_varX_ganc.mean	vgamma_varX_ganc.CI95l	vgamma_varX_ganc.CI95r	vgamma_ld.mean	vgamma_ld.CI95l	vgamma_ld.CI95r	vgamma_ld_ganc.mean	vgamma_ld_ganc.CI95l	vgamma_ld_ganc.CI95r
 2	0.0	neg	CGF	 3.138230e-02	 2.379809e-02	 3.822419e-02	 0.034564509	 0.028067717	 0.041980227	 0.04949303	 0.03801762	 0.06222794	 0.052577892	 0.042468622	 0.062421265	NA	NA	NA	NA	NA	NA
 2	0.0	neg	HI	 9.363772e-02	 8.627016e-02	 9.976678e-02	 0.093116859	 0.086728883	 0.099439913	 0.11610260	 0.10502064	 0.12334027	 0.117300839	 0.109916895	 0.124468355	0.07209259	0.06668510	0.07705992	7.025150e-02	6.467949e-02	7.712432e-02
 2	0.0	pos	CGF	 4.589335e-02	 4.184632e-02	 5.032035e-02	 0.038765931	 0.032180770	 0.045530907	 0.07263876	 0.06522454	 0.07855949	 0.062484755	 0.053590985	 0.069736713	0.25151822	0.24565483	0.25730079	NA	NA	NA
 2	0.0	pos	HI	 1.023895e-01	 9.811195e-02	 1.078533e-01	 0.097808567	 0.093453125	 0.102541300	 0.12725835	 0.12244603	 0.13350605	 0.123261838	 0.117950442	 0.129284606	0.36880607	0.36218581	0.37664773	8.668900e-02	8.668900e-02	8.668900e-02
 2	0.9	neg	CGF	 3.914808e-02	-1.339820e-02	 1.076238e-01	 0.054001941	-0.005487607	 0.131899079	 0.12504326	-0.03308537	 0.31887653	 0.133795569	 0.000010275	 0.331547330	NA	NA	NA	NA	NA	NA
 2	0.9	neg	HI	 7.357927e-02	 4.154826e-02	 1.032730e-01	 0.081575764	 0.053365544	 0.110808606	 0.13496257	 0.08143970	 0.18482020	 0.159206815	 0.100433600	 0.213263512	NA	NA	NA	NA	NA	NA
 2	0.9	pos	CGF	 8.230946e-02	 6.382854e-02	 9.876856e-02	 0.036915428	 0.002628750	 0.068100047	 0.16091074	 0.12332507	 0.20730883	 0.062483321	-0.013109955	 0.126507200	NA	NA	NA	NA	NA	NA
 2	0.9	pos	HI	 1.633029e-01	 1.352045e-01	 1.918375e-01	 0.122740415	 0.080244550	 0.172148497	 0.30810436	 0.25688896	 0.36427044	 0.233028568	 0.174149115	 0.308541650	1.06327563	1.05031423	1.07396397	NA	NA	NA
 3	0.0	neg	CGF	 4.055019e-02	 3.424020e-02	 4.847481e-02	 0.041203429	 0.034184765	 0.049402312	 0.05917697	 0.04981538	 0.06750653	 0.060756449	 0.050372455	 0.071438905	NA	NA	NA	NA	NA	NA
 3	0.0	neg	HI	 8.861712e-02	 8.459527e-02	 9.402663e-02	 0.088584373	 0.085131135	 0.093785375	 0.09935525	 0.09485023	 0.10485157	 0.100120942	 0.095740820	 0.106239443	0.07855871	0.07454729	0.08261141	7.720287e-02	7.332729e-02	8.136258e-02
 3	0.0	pos	CGF	 5.000656e-02	 4.770266e-02	 5.287569e-02	 0.044133104	 0.041119433	 0.047799764	 0.07332624	 0.06953607	 0.07662608	 0.064226201	 0.060062750	 0.068731997	0.26129078	0.25394624	0.26809159	NA	NA	NA
 3	0.0	pos	HI	 9.509675e-02	 8.979302e-02	 1.021995e-01	 0.091705876	 0.084769015	 0.100349198	 0.10783828	 0.09989054	 0.11639031	 0.103754197	 0.097598240	 0.111196330	0.22914414	0.21968864	0.23964321	8.022296e-02	7.443987e-02	8.697733e-02
 3	0.9	neg	CGF	 3.578174e-02	 1.094435e-02	 7.231736e-02	 0.050425737	 0.007413146	 0.097754846	 0.10582565	 0.03113250	 0.21615610	 0.150085484	 0.101799000	 0.213816685	NA	NA	NA	NA	NA	NA
 3	0.9	neg	HI	 9.784843e-02	 7.861336e-02	 1.167736e-01	 0.105193947	 0.085814840	 0.123280047	 0.17997963	 0.13458492	 0.21882400	 0.195918639	 0.160311977	 0.234474752	NA	NA	NA	NA	NA	NA
 3	0.9	pos	CGF	 8.516806e-02	 7.290115e-02	 1.009427e-01	 0.043252116	 0.015648265	 0.066405277	 0.16431758	 0.14029341	 0.18949242	 0.081342874	 0.031574317	 0.146159755	NA	NA	NA	NA	NA	NA
 3	0.9	pos	HI	 1.123109e-01	 9.550733e-02	 1.301756e-01	 0.069121679	 0.042504818	 0.098072262	 0.20636897	 0.17411548	 0.23271528	 0.126805953	 0.077677298	 0.188093625	1.00441795	0.99049109	1.02178835	NA	NA	NA
 4	0.0	neg	CGF	 5.144877e-02	 4.757531e-02	 5.577906e-02	 0.052101632	 0.047871278	 0.056492275	 0.06977238	 0.06414692	 0.07656227	 0.071545113	 0.064748300	 0.078181107	NA	NA	NA	NA	NA	NA
 4	0.0	neg	HI	 9.303821e-02	 8.734650e-02	 9.913544e-02	 0.093847405	 0.086994070	 0.100850557	 0.09838025	 0.09218639	 0.10478158	 0.099269735	 0.093697705	 0.106037185	0.08754944	0.08122311	0.09325963	8.726084e-02	8.264659e-02	9.267756e-02
 4	0.0	pos	CGF	 5.815133e-02	 5.242314e-02	 6.446992e-02	 0.054050615	 0.048431584	 0.061115250	 0.07972217	 0.07304874	 0.09056658	 0.073799601	 0.065678988	 0.083251322	0.25615110	0.24839503	0.26424753	NA	NA	NA
 4	0.0	pos	HI	 9.401270e-02	 8.945439e-02	 9.773183e-02	 0.091386968	 0.086178385	 0.095810522	 0.10038118	 0.09551271	 0.10491156	 0.097001125	 0.093178320	 0.101731275	0.15786683	0.15237668	0.16359488	8.610827e-02	8.200418e-02	9.061355e-02
 4	0.9	neg	CGF	 2.854571e-02	 5.898000e-03	 5.500707e-02	 0.043977280	 0.014096317	 0.072608667	 0.07144469	 0.01403005	 0.11558736	 0.107627978	 0.061607600	 0.149864520	NA	NA	NA	NA	NA	NA
 4	0.9	neg	HI	 7.372819e-02	 5.636232e-02	 9.258958e-02	 0.083433182	 0.067370243	 0.100360900	 0.13680134	 0.10916424	 0.16835289	 0.148017424	 0.122840473	 0.180342665	NA	NA	NA	NA	NA	NA
